sa1,pop
1107750,436
1107751,371
1107752,552
1107753,295
1107754,469
1107801,302
1107802,244
1107804,446
1107805,374
1107806,571
1107807,359
1107808,479
1107809,192
1107810,280
1107811,259
1107812,411
1107813,214
1107814,366
1107815,349
1107816,342
1107817,582
1107818,585
1107819,327
1107820,225
1107821,209
1107822,522
1107823,327
1107824,485
1107825,280
1107826,439
1107827,964
1107828,532
1107829,462
1107830,539
1107831,378
1107833,1156
1107834,1280
1107835,503
1107836,634
1107837,323
1107838,297
1107839,349
1107840,262
1107841,660
1107842,757
1107843,267
1107844,410
1107845,772
1107901,270
1107902,315
1107903,362
1107904,435
1107905,310
1107906,174
1107907,338
1107908,317
1107909,275
1107910,202
1107911,342
1107912,281
1107913,453
1107914,317
1107915,292
1107916,237
1107917,256
1107918,290
1107919,333
1107920,220
1107921,324
1107922,378
1107923,176
1107924,538
1107925,599
1107926,175
1107927,404
1107928,448
1107929,516
1107930,464
1107931,159
1107932,279
1107933,145
1107934,300
1107935,285
1107936,394
1108001,400
1108002,43
1108003,354
1108004,25
1108005,271
1108006,372
1108007,493
1108008,356
1108009,336
1108010,459
1108011,390
1108012,525
1108013,162
1108014,364
1108015,543
1108016,336
1108017,506
1108018,360
1108019,471
1108020,371
1108021,302
1108022,305
1108023,402
1108024,311
1108025,526
1108026,255
1108027,421
1108028,342
1108029,501
1108030,471
1108031,453
1108032,296
1108033,403
1108034,351
1108036,173
1108037,398
1108038,266
1108039,421
1108040,571
1108041,496
1108042,333
1108043,445
1108044,518
1108046,317
1108047,260
1108048,375
1108049,220
1108050,384
1108051,0
1108052,316
1108053,171
1108054,213
1108055,315
1108101,257
1108102,436
1108103,255
1108104,156
1108105,338
1108106,301
1108107,225
1108108,477
1108109,311
1108110,283
1108111,0
1108112,349
1108113,380
1108114,483
1108115,249
1108116,228
1108117,350
1108118,274
1108119,126
1108120,401
1108121,434
1108122,314
1108123,247
1108124,437
1108125,204
1108126,208
1108127,184
1108128,319
1108129,359
1108130,339
1108131,433
1108132,241
1108133,279
1108134,516
1108135,563
1108136,466
1108137,243
1108138,256
1108139,342
1108140,243
1108141,203
1108143,368
1108144,356
1108145,307
1108146,380
1108147,324
1108148,90
1108149,206
1108150,220
1108151,28
1108152,321
1108201,35
1108202,256
1108203,607
1108204,784
1108205,343
1108206,33
1108207,772
1108208,219
1108209,209
1108210,11
1108211,472
1108212,349
1108213,412
1108214,417
1108215,542
1108216,359
1108217,213
1108218,264
1108219,358
1108220,224
1108221,482
1108222,457
